Pricing is Per SQ,,,XACTIMATE,R&R,R&R,R&R,R&R,R&R,,COMPONENT>,Remove,Remove,Remove ,Remove,Install,R&R,R&R,R&R,,DUMP / PERMIT >,Per Area,Per Area
STATE,CITY/AREA,USA REGION,ZIP,LAMINATE AR,STANDING SEAM,CONCRETE TILE,CLAY TILE(Barrel),MOD BIT,COATING,,"Wood Shake:Tear off, Haul, and Dispose","Add. Layer Felt:Tear off, Haul, and Dispose","Layer of Shingles & Felt:Tear off, Haul, and Dispose",Layer of Metal: No haul off,"Sheathing 1/2"" OSB+Clips",STEEP 7/12-9/12,STEEP 10/12-12/12,TWO STORY,BASIC PER SQ AVE,,Additional Disposal Fees - 30YD Dumpster,Additional Permit Fees
,Topeka,Midwest,66609,478.86,"1,382.16","1,018.83","1,485.79",578.86,594.13,,70.00,7.97,40.58,56.00,205.39,25.00,50.00,20.00,,,620.92,
Kentucky,Louisville,South,40202,475.00,"1,269.30",917.26,"1,286.67",575.00,601.69,,71.64,8.26,40.68,58.00,182.30,25.00,50.00,20.00,,,520.00,
Louisiana,Shreveport,South,71101,465.34,"1,216.86",855.62,"1,128.50",565.34,555.66,,59.04,6.97,32.37,49.00,193.62,25.00,50.00,20.00,,,525.00,
,Lake Charles,South,70601,465.34,1323.86,956.00,"1,233.48",565.34,607.86,,79.20,9.24,44.20,66.00,201.28,25.00,50.00,20.00,,,845.32,
Maine,Portland,Northeast,04103,635.77,"1,872.12","1,307.60","1,760.40",735.77,719.93,,88.71,8.13,56.02,55.00,312.13,25.00,50.00,20.00,,,886.15,
Maryland,Baltimore,Northeast,21201,567.12,"1,840.36","1,274.80","1,729.73",667.12,733.45,,75.19,8.49,43.99,59.00,296.96,25.00,50.00,20.00,,,707.00,
,Columbia,Northeast,21044,651.74,"1,958.13","1,355.11","1,810.39",751.74,730.87,,77.28,8.79,44.79,61.00,334.80,25.00,50.00,20.00,,,685.00,
Massachusetts,Boston,Northeast,02110,696.77,"2,010.60","1,481.10","1,937.50",796.77,839.84,,112.62,11.81,72.41,77.00,330.44,25.00,50.00,20.00,,,"1,295.00",
,Springfield,Northeast,01104,600.00,"1,594.86","1,188.41","1,643.53",700.00,674.17,,99.83,10.84,61.59,72.00,257.51,25.00,50.00,20.00,,,868.94,
Michigan,Detroit,Midwest,48201,589.28,"1,793.96","1,226.40","1,681.00",689.28,736.19,,80.11,9.13,46.29,64.00,256.70,25.00,50.00,20.00,,,704.00,
,Grand Rapids,Midwest,49503,583.85,"1,793.80","1,222.90","1,677.55",683.85,672.01,,74.59,8.81,40.96,63.00,270.24,25.00,50.00,20.00,,,470.00,
Minnesota,Minneapolis,Midwest,55401,645.66,"1,999.61","1,487.80","1,973.20",745.66,808.45,,94.16,10.74,54.35,75.00,319.42,25.00,50.00,20.00,,,655.33,
,Rochester,Midwest,55904,597.52,"1,868.38","1,397.95",1883.34,697.52,744.00,,88.36,10.28,52.07,73.00,288.69,25.00,50.00,20.00,,,534.54,
Mississippi,Jackson,South,39201,510.15,"1,440.30","1,005.85","1,382.94",610.15,596.30,,67.75,7.73,40.01,56.00,239.76,25.00,50.00,20.00,,,630.00,
,Gulfport,South,39503,523.91,"1,494.56","1,045.92","1,419.67",623.91,580.77,,77.84,8.48,45.31,61.00,233.26,25.00,50.00,20.00,,,590.00,
Missouri,Kansas City,Midwest,64106,452.40,"1,212.45",913.86,"1,391.64",552.40,635.30,,77.37,8.87,44.34,62.00,164.34,25.00,50.00,20.00,,,525.00,
,Columbia,Midwest,65201,480.77,"1,353.13",993.95,"1,459.98",580.77,609.33,,71.96,8.35,40.52,59.00,217.01,25.00,50.00,20.00,,,625.49,
Montana,Helena,West,59602,547.44,"1,600.78","1,134.13","1,314.00",647.44,638.09,,76.06,7.89,45.23,56.00,271.00,25.00,50.00,20.00,,,425.09,
Nebraska,Omaha,Midwest,68102,599.97,"1,910.90","1,411.01","1,891.64",699.97,801.83,,75.86,8.87,42.19,62.06,295.32,25.00,50.00,20.00,,,492.20,
Nevada,Reno,West,89501,645.71,"1,956.96","1,302.74","1,537.83",745.71,793.02,,79.77,9.23,45.07,65.00,321.20,25.00,50.00,20.00,,,600.67,
,Las Vegas,West,88901,488.18,"1,386.61","1,081.50","1,349.15",588.18,618.12,,71.47,8.25,40.59,57.00,227.12,25.00,50.00,20.00,,,500.00,
New Hampshire,Manchester,Northeast,03104,643.61,"1,952.00","1,568.64","1,998.33",743.61,726.96,,90.28,8.75,59.58,56.00,330.00,25.00,50.00,20.00,,,994.00,
New Jersey,Newark,Northeast,07102,641.29,"1,885.60","1,356.55","1,814.12",741.29,771.54,,106.09,11.86,62.95,82.10,299.61,25.00,50.00,20.00,,,"1,293.31",
New Mexico,Santa Fe,West,87501,697.03,"1,958.58","1,331.62","1,654.69",797.03,749.88,,107.19,8.71,64.61,61.74,330.35,25.00,50.00,20.00,,,904.45,
,Albuquerque,West,87102,642.07,"1,930.82","1,319.33","1,587.33",742.07,734.70,,71.42,8.40,39.35,60.34,329.72,25.00,50.00,20.00,,,521.08,
New York,New York City,Northeast,10002,910.52,"2,718.12","1,920.11","2,389.91","1,010.52",958.84,,145.03,14.40,90.26,101.00,464.28,25.00,50.00,20.00,,,"1,028.33",
,Buffalo,Northeast,14201,669.46,"2,003.12","1,388.95","1,856.05",769.46,770.48,,83.69,9.16,50.49,65.00,329.78,25.00,50.00,20.00,,,890.00,
North Carolina,Charlotte,South,28202,492.80,"1,433.17","1,028.98","1,403.46",592.80,624.16,,78.96,9.36,42.99,67.00,225.23,25.00,50.00,20.00,,,590.00,
,Carolina Beach,South,28428,521.55,"1,536.68","1,083.79","1,457.75",621.55,691.14,,76.16,8.84,42.92,63.00,251.45,25.00,50.00,20.00,,,945.50,
North Dakota,Fargo,Midwest,58102,493.85,"1,515.05","1,148.30","1,629.80",593.85,614.27,,72.03,8.46,39.92,61.00,211.13,25.00,50.00,20.00,,,464.67,
Ohio,Columbus,Midwest,43215,571.55,"1,739.53","1,185.35","1,646.19",671.55,655.78,,74.83,8.36,44.19,61.00,282.78,25.00,50.00,20.00,,,645.00,
,Cleveland,Midwest,44114,557.27,"1,708.60","1,175.69","1,638.44",657.27,719.07,,82.28,9.27,48.40,63.00,277.24,25.00,50.00,20.00,,,736.23,
Oklahoma,Tulsa,South,74008,450.24,"1,277.76",905.32,"1,179.68",550.24,603.78,,61.12,7.07,34.53,50.00,177.49,25.00,50.00,20.00,,,510.00,
Oregon,Portland,West,97201,591.52,"1,682.71","1,230.34","1,410.27",691.52,700.57,,93.68,10.37,56.29,71.00,263.00,25.00,50.00,20.00,,,"1,299.42",
,Eugene,West,97401,591.52,"1,442.87","1,064.10","1,243.34",613.04,646.54,,73.14,8.17,43.45,56.00,231.00,25.00,50.00,20.00,,,750.00,
Pennsylvania,Philadelphia,Northeast,19102,716.45,"2,132.17","1,500.81","1,965.06",816.45,749.58,,93.04,10.21,57.75,69.00,347.36,25.00,50.00,20.00,,,947.00,
,Pittsburgh,Northeast,15222,640.06,"1,963.95","1,366.60","1,826.12",740.06,769.38,,81.57,9.05,48.85,62.00,317.55,25.00,50.00,20.00,,,750.00,
,Erie,Northeast,16505,517.91,"1,519.55","1,065.23","1,519.07",617.91,679.64,,70.07,8.04,40.13,57.00,249.68,25.00,50.00,20.00,,,605.25,
Rhode Island,Providence,Northeast,02903,648.05,"1,838.22","1,309.78","1,768.91",748.05,782.72,,88.75,9.73,54.06,66.00,305.18,25.00,50.00,20.00,,,855.00,
South Carolina,Charleston,South,29401,481.12,"1,396.59",990.72,"1,371.14",581.12,650.97,,70.56,8.32,38.74,59.00,199.32,25.00,50.00,20.00,,,700.00,
,Myrtle Beach,South,29577,526.45,"1,557.15","1,092.88","1,473.70",626.45,663.56,,67.79,7.92,37.74,56.00,241.14,25.00,50.00,20.00,,,644.00,
South Dakota,Sioux Falls,Midwest,57104,562.93,"1,720.26","1,287.20","1,774.54",662.93,635.96,,78.46,9.13,44.03,64.29,257.38,25.00,50.00,20.00,,,712.51,
Tennessee,Nashville,South,37201,507.83,"1,468.46","1,040.13","1,421.55",607.83,647.84,,73.02,8.13,43.61,55.00,221.19,25.00,50.00,20.00,,,815.43,
,Knoxville,South,37902,507.96,"1,540.71","1,082.08","1,463.70",607.96,610.67,,66.07,7.67,37.17,54.00,240.28,25.00,50.00,20.00,,,584.28,
Texas,Houston,South,77002,516.33,"1,468.77","1,063.55","1,334.43",616.33,659.05,,78.24,9.08,44.07,64.00,226.71,25.00,50.00,20.00,,,652.32,
,Galveston,South,77551,486.42,"1,347.76",971.57,"1,241.88",586.42,597.99,,69.94,8.11,39.43,57.00,209.12,25.00,50.00,20.00,,,837.24,
